latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,cluster,coordinated_flag
17.77377,97.85876,338.16,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.36,2.28,D,2026-03-29 06:52:00,0,True
17.77579,99.30187,334.14,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,301.45,2.37,D,2026-03-29 06:52:00,0,True
17.77719,97.85842,337.73,0.41,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.21,4.92,D,2026-03-29 06:52:00,0,True
17.77895,98.77147,337.29,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,301.94,5.88,D,2026-03-29 06:52:00,0,True
17.78024,99.28075,331.74,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,302.62,2.63,D,2026-03-29 06:52:00,0,True
17.7808,99.28487,336.82,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.92,5.53,D,2026-03-29 06:52:00,0,True
17.78247,98.77103,345.83,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.26,5.01,D,2026-03-29 06:52:00,0,True
17.78258,97.79926,335.51,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.46,2.89,D,2026-03-29 06:52:00,0,True
17.78311,97.80299,332.46,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.73,2.89,D,2026-03-29 06:52:00,0,True
17.78322,97.99871,335.29,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,308.35,3.9,D,2026-03-29 06:52:00,0,True
17.78329,99.27626,334.24,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.04,2.63,D,2026-03-29 06:52:00,0,True
17.78385,99.28036,334.65,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.99,2.63,D,2026-03-29 06:52:00,0,True
17.78429,98.00626,335.67,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,310.28,6.11,D,2026-03-29 06:52:00,0,True
17.78539,97.79476,334.39,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.67,2.1,D,2026-03-29 06:52:00,0,True
17.78554,97.51015,333.07,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,304.68,6.61,D,2026-03-29 06:52:00,0,True
17.78598,98.77056,337.95,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.33,5.01,D,2026-03-29 06:52:00,0,True
17.78835,97.50588,346.12,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.72,23.49,D,2026-03-29 06:52:00,0,True
17.78949,98.77007,330.78,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.76,4.25,D,2026-03-29 06:52:00,0,True
17.79057,98.00137,336.85,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,311.73,4.18,D,2026-03-29 06:52:00,0,True
17.79099,97.80969,335.61,0.41,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.06,3.11,D,2026-03-29 06:52:00,0,True
17.79115,98.67863,340.08,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,308.36,3.54,D,2026-03-29 06:52:00,0,True
17.793,98.76956,344.15,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.07,4.25,D,2026-03-29 06:52:00,0,True
17.79345,98.6695,348.04,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.2,6.35,D,2026-03-29 06:52:00,0,True
17.79405,98.67384,349.79,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,308.9,6.35,D,2026-03-29 06:52:00,0,True
17.79465,98.67815,341.29,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.04,3.54,D,2026-03-29 06:52:00,0,True
17.79518,98.65625,335.39,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,308.91,5.31,D,2026-03-29 06:52:00,0,True
17.79578,98.66058,351.59,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,310.21,16.04,D,2026-03-29 06:52:00,0,True
17.79637,98.66483,353.0,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,316.34,16.04,D,2026-03-29 06:52:00,0,True
17.79651,98.76909,350.4,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.55,13.7,D,2026-03-29 06:52:00,0,True
17.79696,98.66905,349.36,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,311.42,15.03,D,2026-03-29 06:52:00,0,True
17.80185,98.70431,338.91,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,304.92,4.32,D,2026-03-29 06:52:00,0,True
17.80238,98.70815,341.58,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.79,3.87,D,2026-03-29 06:52:00,0,True
17.80274,98.65939,337.18,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,309.76,4.07,D,2026-03-29 06:52:00,0,True
17.8043,98.69623,337.45,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.39,3.82,D,2026-03-29 06:52:00,0,True
17.80434,97.68676,339.12,0.4,0.37,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.32,6.54,D,2026-03-29 06:52:00,0,True
17.80481,98.34769,338.41,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,310.07,2.43,D,2026-03-29 06:52:00,0,True
17.80481,98.69994,347.81,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.3,4.32,D,2026-03-29 06:52:00,0,True
17.80533,98.70367,332.33,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,303.47,4.32,D,2026-03-29 06:52:00,0,True
17.80545,98.52658,344.24,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.99,4.11,D,2026-03-29 06:52:00,0,True
17.80602,98.53066,336.12,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.64,4.11,D,2026-03-29 06:52:00,0,True
17.8064,98.71137,331.46,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,305.6,3.87,D,2026-03-29 06:52:00,0,True
17.80729,98.69206,338.41,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.09,3.98,D,2026-03-29 06:52:00,0,True
17.80901,99.19759,336.13,0.45,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.56,2.84,D,2026-03-29 06:52:00,0,True
17.80936,99.44073,330.17,0.47,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,300.54,3.24,D,2026-03-29 06:52:00,0,True
17.81079,98.69161,335.34,0.43,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.78,3.98,D,2026-03-29 06:52:00,0,True
17.81429,98.69111,334.42,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,306.54,3.02,D,2026-03-29 06:52:00,0,True
17.81553,99.19202,333.67,0.45,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,302.51,3.74,D,2026-03-29 06:52:00,0,True
